taxid	D	P	C	O	F	G	S	5reads-tr_0	5reads-tr_1	5reads-tr_2	5reads-tr_3	5reads-tr_4	5reads-tr_5	5reads-tr_6	5reads-tr_7	5reads-tr_8	5reads-tr_9	10reads-tr_0	10reads-tr_1	10reads-tr_2	10reads-tr_3	10reads-tr_4	10reads-tr_5	10reads-tr_6	10reads-tr_7	10reads-tr_8	10reads-tr_9	100reads-tr_0	100reads-tr_1	100reads-tr_2	100reads-tr_3	100reads-tr_4	100reads-tr_5	100reads-tr_6	100reads-tr_7	100reads-tr_8	100reads-tr_9
12118	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Aphthovirus	Foot-and-mouth disease virus	5	0	0	10	5	0	5	5	5	0	10	0	0	20	10	0	10	10	10	0	100	0	0	200	100	0	100	100	100	0
1211813	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes ihumii	0	0	0	0	15	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
1211819	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania massiliensis	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
12131	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	10	10	0	5	0	15	0	5	0	0	20	20	0	10	0	30	0	10	0	0	200	200	0	100	0	300	0	100	0	0
1214955	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gyrovirus	Gyrovirus homsa3	5	10	5	5	10	5	10	10	5	5	10	20	10	10	20	10	20	20	10	10	100	200	100	100	200	100	200	200	100	100
121627	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces rugulosus	0	0	5	10	0	20	15	5	5	10	0	0	10	20	0	40	30	10	10	20	0	0	100	200	0	400	300	100	100	200
1217662	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0
1217663	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	600
1218085	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter rodentium	10	30	0	0	20	10	0	20	0	0	20	60	0	0	40	20	0	40	0	0	200	600	0	0	400	200	0	400	0	0
1218490	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Sigmatorquevirus	Sigmatorquevirus otari1	5	5	0	5	10	5	10	10	10	15	10	10	0	10	20	10	20	20	20	30	100	100	0	100	200	100	200	200	200	300
1219626	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus sp. MV1	0	0	0	5	5	0	0	0	5	0	0	0	0	10	10	0	0	0	10	0	0	0	0	100	100	0	0	0	100	0
1220207	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus puulaauensis	0	0	5	10	0	15	10	10	20	10	0	0	10	20	0	30	20	20	40	20	0	0	100	200	0	300	200	200	400	200
1220924	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora europaea	5	5	0	5	0	10	0	10	5	10	10	10	0	10	0	20	0	20	10	20	100	100	0	100	0	200	0	200	100	200
1221309	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	5	5	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0
1222338	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Straboviridae	Krischvirus	Krischvirus gec3s	0	5	0	0	0	0	5	0	0	0	0	10	0	0	0	0	10	0	0	0	0	100	0	0	0	0	100	0	0	0
1225800	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Homburgvirus	Homburgvirus P70	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
1226723	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Taupapillomavirus	Taupapillomavirus 2	5	5	10	15	10	5	10	10	10	10	10	10	20	30	20	10	20	20	20	20	100	100	200	300	200	100	200	200	200	200
1227346	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium proliferatum	10	10	10	10	5	0	25	10	30	10	20	20	20	20	10	0	50	20	60	20	200	200	200	200	100	0	500	200	600	200
122928	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	20	0	0	20	0	0	0	0	0	0	200	0	0	200
122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	200	0	0	0	0
1229621	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes rhamnosivorans	0	5	0	5	5	0	0	10	0	5	0	10	0	10	10	0	0	20	0	10	0	100	0	100	100	0	0	200	0	100
1229752	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Fletchervirus	Fletchervirus CP30A	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0
1229754	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Vhmlvirus	Vhmlvirus mar	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
1230383	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia sympodialis	5	20	15	10	15	10	5	10	15	5	10	40	30	20	30	20	10	20	30	10	100	400	300	200	300	200	100	200	300	100
1231377	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
1231522	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	unclassified Metschnikowiaceae genus	[Candida] duobushaemuli	0	0	0	10	0	10	5	10	10	10	0	0	0	20	0	20	10	20	20	20	0	0	0	200	0	200	100	200	200	200
1232428	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera massiliensis	0	0	5	0	0	0	0	0	0	5	0	0	10	0	0	0	0	0	0	10	0	0	100	0	0	0	0	0	0	100
1232436	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma timonensis	10	5	10	10	5	10	10	0	15	15	20	10	20	20	10	20	20	0	30	30	200	100	200	200	100	200	200	0	300	300
1233320	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Hunnivirus	Hunnivirus A	0	0	5	0	0	0	5	0	0	5	0	0	10	0	0	0	10	0	0	10	0	0	100	0	0	0	100	0	0	100
1233383	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cosavirus	Human cosavirus	5	5	10	5	0	0	15	10	0	0	10	10	20	10	0	0	30	20	0	0	100	100	200	100	0	0	300	200	0	0
12336	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	unclassified Caudoviricetes genus	Clostridium phage c-st	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0
1234680	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus rubneri	0	0	5	10	0	0	10	0	5	0	0	0	10	20	0	0	20	0	10	0	0	0	100	200	0	0	200	0	100	0
12348	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	unclassified Caudoviricetes genus	Lactobacillus phage LL-H	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0
1235427	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyorhopapillomavirus	Dyorhopapillomavirus 1	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
1235428	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoiotapapillomavirus	Dyoiotapapillomavirus 2	0	5	0	0	0	5	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	100	0	0	0	100	0	0	0	0
1235429	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoiotapapillomavirus	Dyoiotapapillomavirus 2	5	0	10	5	15	0	0	0	0	5	10	0	20	10	30	0	0	0	0	10	100	0	200	100	300	0	0	0	0	100
1235430	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyorhopapillomavirus	Dyorhopapillomavirus 1	5	0	10	5	5	0	15	0	0	15	10	0	20	10	10	0	30	0	0	30	100	0	200	100	100	0	300	0	0	300
1235656	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Pahexavirus	Pahexavirus PHL114L00	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1235661	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Vicosavirus	Vicosavirus UFVP2	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
1235789	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides goldsteinii	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	300	0	0
1235824	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Autographiviridae	Friunavirus	Friunavirus Abp1	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	100	0	100	0
1235834	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia sacchari	15	15	10	25	5	0	0	0	0	0	30	30	20	50	10	0	0	0	0	0	300	300	200	500	100	0	0	0	0	0
1236000	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Jedunavirus	Jedunavirus JD001	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	200	0	0
1236689	Archaea	Candidatus-Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Methanomethylophilus	Methanomethylophilus alvi	0	0	315	0	0	0	0	0	275	325	0	0	630	0	0	0	0	0	550	650	0	0	6300	0	0	0	0	0	5500	6500
1236767	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Chipapillomavirus	Chipapillomavirus 3	0	15	0	5	0	0	10	5	0	0	0	30	0	10	0	0	20	10	0	0	0	300	0	100	0	0	200	100	0	0
1237364	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Straboviridae	Mosigvirus	Mosigvirus HX01	0	0	0	5	10	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0	0	0	0	100	200	0	0	0	0	0
1237626	Eukaryota	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium inui	30	10	10	20	30	30	35	35	25	5	60	20	20	40	60	60	70	70	50	10	600	200	200	400	600	600	700	700	500	100
1239383	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Herelleviridae	Kayvirus	Kayvirus JD7	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
1239384	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Schitoviridae	Gamaleyavirus	Gamaleyavirus IME11	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0
1239832	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Kappatorquevirus	Kappatorquevirus suidak2b	10	5	10	10	20	10	5	5	15	20	20	10	20	20	40	20	10	10	30	40	200	100	200	200	400	200	100	100	300	400
1239989	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii	0	0	20	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0
1241371	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Malacoherpesviridae	Aurivirus	Aurivirus haliotidmalaco1	25	25	15	25	25	0	20	30	20	10	50	50	30	50	50	0	40	60	40	20	500	500	300	500	500	0	400	600	400	200
1242865	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	0	0	0	85	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	1700	0	0	0	0	0	0
1243181	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0
1243183	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Obolenskvirus	Obolenskvirus AB2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1244	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc gelidum	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0
1244856	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Kafunavirus	Kafunavirus KF1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0
1245	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc mesenteroides	5	0	0	0	0	5	5	0	0	0	10	0	0	0	0	10	10	0	0	0	100	0	0	0	0	100	100	0	0	0
1245769	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea lanzarotensis	15	15	0	5	10	5	0	0	0	0	30	30	0	10	20	10	0	0	0	0	300	300	0	100	200	100	0	0	0	0
1246	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc lactis	0	5	5	0	0	0	0	0	5	5	0	10	10	0	0	0	0	0	10	10	0	100	100	0	0	0	0	0	100	100
1248396	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 18	15	10	5	0	5	5	5	5	5	10	30	20	10	0	10	10	10	10	10	20	300	200	100	0	100	100	100	100	100	200
1254	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici	5	0	10	0	0	0	0	0	5	0	10	0	20	0	0	0	0	0	10	0	100	0	200	0	0	0	0	0	100	0
1254439	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium thermophilum	0	0	15	0	0	30	25	0	0	0	0	0	30	0	0	60	50	0	0	0	0	0	300	0	0	600	500	0	0	0
1256216	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0
1257118	Eukaryota	Discosea	unclassified Discosea class	Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba castellanii	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
1258572	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Schitoviridae	Gamaleyavirus	Gamaleyavirus EC1UPM	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100
1259973	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella electrica	15	25	5	5	20	25	15	25	20	5	30	50	10	10	40	50	30	50	40	10	300	500	100	100	400	500	300	500	400	100
1260	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna	5	0	0	0	5	5	0	0	0	0	10	0	0	0	10	10	0	0	0	0	100	0	0	0	100	100	0	0	0	0
1261	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius	5	0	0	0	0	0	5	0	0	0	10	0	0	0	0	0	10	0	0	0	100	0	0	0	0	0	100	0	0	0
1261066	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	500	0	0
1261069	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0
1261635	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia sp. 831b	5	0	0	5	0	5	5	5	5	0	10	0	0	10	0	10	10	10	10	0	100	0	0	100	0	100	100	100	100	0
1261636	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes sp. 494a	0	0	5	0	5	5	5	10	10	5	0	0	10	0	10	10	10	20	20	10	0	0	100	0	100	100	100	200	200	100
1261657	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Muromegalovirus	Muromegalovirus muridbeta8	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
1262514	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Autographiviridae	Phikmvvirus	Phikmvvirus MPK6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0
1262516	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Limdunavirus	Limdunavirus LN04	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1262533	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Skunavirus	Skunavirus sv340	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0
1262536	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Skunavirus	Skunavirus jm3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0
1262539	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Straboviridae	Schizotequatrovirus	Schizotequatrovirus vh7d	0	5	0	0	0	5	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	100	0	0	0	100	0	0	0	0
1262540	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Tidunavirus	Tidunavirus VP4B	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
1262693	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. CAG:268	0	15	5	0	5	5	5	5	5	0	0	30	10	0	10	10	10	10	10	0	0	300	100	0	100	100	100	100	100	0
1262980	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. CAG:933	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1263041	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola coprophilus	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
1263100	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0
126385	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia alcalifaciens	0	10	0	20	0	5	0	15	15	20	0	20	0	40	0	10	0	30	30	40	0	200	0	400	0	100	0	300	300	400
1264700	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Yokohamavirus	Yokohamavirus MSW3	0	5	0	0	0	0	5	0	0	0	0	10	0	0	0	0	10	0	0	0	0	100	0	0	0	0	100	0	0	0
1267	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Sarcina	Sarcina ventriculi	0	0	15	0	0	0	0	5	0	5	0	0	30	0	0	0	0	10	0	10	0	0	300	0	0	0	0	100	0	100
1267000	Bacteria	Mycoplasmatota	unclassified Mycoplasmatota class	Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma	Metamycoplasma hominis	0	0	0	420	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0	8400	0	0	0	0	0	0
1267169	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Paclarkvirus	Paclarkvirus BHN167	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
1268240	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	400	0	0	0	0
126989	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Lophivirus	Lophivirus LfUK	25	25	30	10	30	25	15	25	15	30	50	50	60	20	60	50	30	50	30	60	500	500	600	200	600	500	300	500	300	600
1273103	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera sp. NM10	5	0	0	15	10	10	15	5	0	5	10	0	0	30	20	20	30	10	0	10	100	0	0	300	200	200	300	100	0	100
1273266	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus	0	0	65	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0
1273709	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Bruynoghevirus	Bruynoghevirus PaP4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1273738	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Asteriusvirus	Asteriusvirus PBECO4	0	0	0	0	10	0	0	5	5	0	0	0	0	0	20	0	0	10	10	0	0	0	0	0	200	0	0	100	100	0
1273747	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Saparoviridae	Samsavirus	Samsavirus HCTV2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1273750	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Madisaviridae	Clampvirus	Clampvirus HHTV1	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
1273751	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Saparoviridae	Halohivirus	Halohivirus HHTV2	0	0	0	5	0	0	5	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	100	0	0	100	0	0	0
127507	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Versovirus	Versovirus VfO3K6	0	0	0	0	0	20	0	20	30	30	0	0	0	0	0	40	0	40	60	60	0	0	0	0	0	400	0	400	600	600
127508	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Versovirus	Versovirus VfO3K6	15	25	30	20	15	0	15	0	0	0	30	50	60	40	30	0	30	0	0	0	300	500	600	400	300	0	300	0	0	0
127509	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Villovirus	Villovirus Vf33	0	25	10	0	0	15	0	0	25	15	0	50	20	0	0	30	0	0	50	30	0	500	200	0	0	300	0	0	500	300
127511	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Villovirus	Villovirus Vf33	20	0	0	15	15	0	15	15	0	0	40	0	0	30	30	0	30	30	0	0	400	0	0	300	300	0	300	300	0	0
1276936	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus petrasii	0	0	0	0	5	5	10	5	0	5	0	0	0	0	10	10	20	10	0	10	0	0	0	0	100	100	200	100	0	100
1277687	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma flocculosa	10	20	20	15	5	20	25	30	15	35	20	40	40	30	10	40	50	60	30	70	200	400	400	300	100	400	500	600	300	700
1277886	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Herelleviridae	Wphvirus	Wphvirus BPS10C	5	0	0	10	0	0	0	5	0	0	10	0	0	20	0	0	0	10	0	0	100	0	0	200	0	0	0	100	0	0
1279043	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora carrionii	0	0	10	0	5	10	5	5	0	0	0	0	20	0	10	20	10	10	0	0	0	0	200	0	100	200	100	100	0	0
1279085	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium fujikuroi	10	10	10	30	10	20	15	10	5	5	20	20	20	60	20	40	30	20	10	10	200	200	200	600	200	400	300	200	100	100
1280	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	0	0	5	0	0	5	5	5	5	0	0	0	10	0	0	10	10	10	10	0	0	0	100	0	0	100	100	100	100	0
